# Deform simulation data
# Generated placeholder
P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000	900.000000	1000.000000	1100.000000	1200.000000
